campus,branch,marks,year
Pilani,B.E. Chemical,265,2017
Pilani,B.E. Civil,254,2017
Pilani,B.E. Mechanical,289,2017
Pilani,B.E. Computer Science,331,2017
Pilani,B.E. Electronics & Instrumentation,287,2017
Pilani,B.E. Manufacturing,249,2017
Pilani,B. Pharm,191,2017
Pilani,M.Sc. Biological Sciences,205,2017
Pilani,M.Sc. Chemistry,229,2017
Pilani,M.Sc. Economics,280,2017
Pilani,M.Sc. Mathematics,270,2017
Pilani,M.Sc. Physics,263,2017
Pilani,B.E. Electrical & Electronics,307,2017
Goa,B.E. Chemical,239,2017
Goa,B.E. Mechanical,263,2017
Goa,B.E. Electrical & Electronics,277,2017
Goa,B.E. Computer Science,303,2017
Goa,B.E. Electronics & Instrumentation,260,2017
Goa,B.E. Electronics & Communication,279,2017
Goa,M.Sc. Chemistry,203,2017
Goa,M.Sc. Biological Sciences,175,2017
Goa,M.Sc. Economics,251,2017
Goa,M.Sc. Mathematics,236,2017
Goa,M.Sc. Physics,234,2017
Hyderabad,B.E. Chemical,235,2017
Hyderabad,B.E. Civil,236,2017
Hyderabad,B.E. Electrical & Electronics,268,2017
Hyderabad,B.E. Mechanical,257,2017
Hyderabad,B.E. Computer Science,293,2017
Hyderabad,B.E. Electronics & Instrumentation,258,2017
Hyderabad,B.E. Electronics & Communication,277,2017
Hyderabad,B. Pharm,173,2017
Hyderabad,B.E. Manufacturing,233,2017
Hyderabad,M.Sc. Biological Sciences,175,2017
Hyderabad,M.Sc. Chemistry,192,2017
Hyderabad,M.Sc. Economics,241,2017
Hyderabad,M.Sc. Mathematics,223,2017
Hyderabad,M.Sc. Physics,217,2017
